,COD_HECHO,DEP,MUN,CODMUN,FECHA,REVIEW,NOMBREDEP,NOMBREMUN,CODDEP,CODRegion,longitude,latitude,REVIEW_mundep,CODDEPAL,CODDEPALlist,CODDEPALlist2
10,36250,CAUCA,SUAREZ,19780,16/08/2019,sistema alertas tempranas defensoria pueblo emitio alerta temprana suarez departamento cauca caso particular municipio suarez pueden destacar varios momentos respecto evolucion riesgo finales genera calma aparente gracias cese acciones belicas disminucion amenazas homicidios momento finales fecha menos tres grupos armados ilegales epl eln disidencias farc grupos postdesmovilizacion farc llamados tambien gaors fuerza publica hecho presencia realizan acciones concretas afectado directa indirectamente poblacion civil,Cauca,Suárez,19,Pacifico,-76.69500094,2.954433455,pueblo suarez cauca suarez,Cauca,['cauca'],['cauca']
11,36327,CAUCA,SUAREZ,19780,26/08/2019,hombres armados atacaron tiros personas movilizaban bus tipo escalera vehiculo iban mujeres campesinos nios resguardo cerro tijeras alcanzo ser impactado proyectiles,Cauca,Suárez,19,Pacifico,-76.69500094,2.954433455,cerro,Cauca,['cauca'],['cauca']
12,36407,CAUCA,SUAREZ,19780,1/09/2019,confirma homicidio seis personas encuentra karina garcia sierra candidata alcaldia suarez partido liberal,Cauca,Suárez,19,Pacifico,-76.69500094,2.954433455,sierra suarez,Cauca,['cauca'],['cauca']
13,36553,CAUCA,SUAREZ,19780,13/09/2019,dos mujeres hombre asesinados norte cauca cuerpos vida encontrados vereda amparo corregimiento betulia,Cauca,Suárez,19,Pacifico,-76.69500094,2.954433455,norte cauca betulia,Cauca,['cauca'],['cauca']
14,36638,CAUCA,SUAREZ,19780,19/09/2019,fiscalia general nacion aclaro organismo si dos procesos penales vigentes leider johani noscue alias mayimbu sealado ser hombre ordeno asesinar grupo personas suarez candidata alcaldia municipio karina garcia fiscalia adelanta proceso penal alias mayimbu calidad disidente extinta guerrilla farc,Cauca,Suárez,19,Pacifico,-76.69500094,2.954433455,suarez,Cauca,['cauca'],['cauca']
15,33766,NORTE_DE_SANTANDER,TIBU,54810,2/01/2019,hoja cuadriculada dejaron cuerpo hombre baleado asesinos justificaron ocurrido dan entender seguiran cometiendo mas homicidios hoja escribieron murio ladron motos continuaremos mensaje claro estarian dando entender tibu llevando cabo limpieza personas sealadas cometer delitos victima sector serena via conduce corregimiento gabarra tibu llega homicidios terminar superando cifra segun versiones hombresque movilizaban motos llegaron victima desolado sector propinaron varios disparos cabeza cara occiso encuentra identificar,Norte de Santander,Tibú,54,Andina,-72.73595582,8.639737839,tibu tibu,Norte de Santander,['nortedesantander'],['nortedesantander']
16,33794,NORTE_DE_SANTANDER,TIBU,54810,7/01/2019,hallaron kilos hoja coca kilos urea kilos cal galones acpm galones gasolina soldados fuerza tarea vulcano ejercito afectaron finanzas intenciones tenia ejercito liberacion eln atentar fuerza publica artefactos explosivos zona catatumbo soldados fuerza tarea vulcano ejercito afectaron finanzas intenciones tenia ejercito liberacion eln atentar fuerza publica artefactos explosivos zona catatumbo primera accion militares pertenecientes batallon especial energetico vial desmantelaron laboratorio artesanal procesar cocaina vereda area libre zona rural tibu estructura hallaron kilos hoja coca kilos urea kilos cal galones acpm galones gasolina insumos necesarios produccion alcaloide soldados destruyeron laboratorio incautaron sustancias encontraron lugar ubicado zona boscosa vereda miramontes tibu uniformados destruyeron manera controlada cuatro artefactos explosivos eln pretendia activar traves metodo cable mando atentar fuerza publica area arribaron miembros grupo explosivos demoliciones minimizaron riesgo explosivos causaran dao ejercito aseguro continuaran adelantando patrullajes registro control contrarrestar acciones violentas grupos armados ilegales delinquen departamento,Norte de Santander,Tibú,54,Andina,-72.73595582,8.639737839,zona zona zona tibu zona tibu,Norte de Santander,['nortedesantander'],['nortedesantander']
17,33903,NORTE_DE_SANTANDER,TIBU,54810,18/01/2019,ejercito desarrollo plan campaa bicentenario heroes libertad continua esfuerzo neutralizar actividades delictivas grupos armados organizados margen ley region catatumbo soldados fuerza tarea vulcano destruyeron dos laboratorios procesamiento pasta base coca acuerdo investigaciones pertenecian eln frente juan fernando porras martinez zona rural municipio tibu norte santander estructuras almacenaban kilos hoja coca picada kilos urea kilos cal kilos sulfato amonio kilos cemento galones pasta base coca procesamiento galones gasolina refinada sustancias empleadas procesamiento estupefaciente,Norte de Santander,Tibú,54,Andina,-72.73595582,8.639737839,juan fernando zona tibu norte santander,Norte de Santander,['nortedesantander'],['nortedesantander']
18,34056,NORTE_DE_SANTANDER,TIBU,54810,14/01/2019,fecha enero siendo m administracion municipal dirige vereda primavera municipio tibu situacion desplazamiento puesta conocimiento seor alexis villamizar ciudadano froilan gonzalez habitante vereda informa dia enero aproximadamente am llegaron hombres vestidos camuflado brazalete epl finca denominada paraiso manifestaron tenia media hora desalojar vereda igual vecinos manera inmediata sr froilan comunico vecinos situacion ocho familias vereda desplazaron reunieron casa docente yeidi garcia queda ubicada vereda socoro abandonado enseres animales temor generalizado hoy escuchado disparos enfrentamientos grupos armados ilegales desplazaron total familias total personas,Norte de Santander,Tibú,54,Andina,-72.73595582,8.639737839,primavera tibu gonzalez,Norte de Santander,['nortedesantander'],['nortedesantander']
19,34083,NORTE_DE_SANTANDER,TIBU,54810,4/02/2019,tropas batallon artilleria n batalla cucuta hallaron caserio tibu norte santander laboratorio procesamiento cocaina producian dos toneladas coca mes lugar hallaron galones acetona galones acido clorhidrico kilogramos metabisulfito sodio kilogramos cloruro calcio kilogramos carbon activado canecas hornos microondas prensa hidraulica dos pesas digitales dos basculas grameras panel electronico lavadora sistema enfriamiento,Norte de Santander,Tibú,54,Andina,-72.73595582,8.639737839,cucuta tibu norte santander,Norte de Santander,['nortedesantander'],['nortedesantander']
20,34126,NORTE_DE_SANTANDER,TIBU,54810,7/02/2019,marco campaa militar policial esparta traves desarrollo operaciones accion ofensiva logran incautacion insumos maquinaria pertenecientes grupo armado organizado eln tropas batallon artilleria n batalla cucuta adscrito fuerza tarea vulcano apoyo brigada narcotrafico ejercito forma conjunta fuerza aerea colombiana coordinacion policia ubican laboratorio procesamiento clorhidrato cocaina vereda gomez municipio tibu laboratorio almacenaba galones acetona galones acido clorhidrico kilogramos meta bisulfito sodio kilogramos cloruro calcio kilogramos carbon activado canecas hornos microondas prensa hidraulica dos pesas digitales dos basculas grameras panel electronico lavadora sistema enfriamiento tambien hacen parte material incautado,Norte de Santander,Tibú,54,Andina,-72.73595582,8.639737839,cucuta gomez tibu meta,Norte de Santander,['nortedesantander'],['nortedesantander']
21,34132,NORTE_DE_SANTANDER,TIBU,54810,10/02/2019,autoridades investigan causas rodearon muerte lider social region catatumbo norte santander identificado jose arquimedes moreno aos hechos registraron vereda t patios municipio tibu ciudadano dirigia lugar residencia dos personas movilizaban motocicleta dispararon repetidas oportunidades humanidad lider comunitario coronel george quintero comandante policia departamento dijo autoridades investigan causas rodearon muerte lider social region catatumbo norte santander identificado jose arquimedes moreno aos hechos registraron vereda t patios municipio tibu ciudadano dirigia lugar residencia dos personas movilizaban motocicleta dispararon repetidas oportunidades humanidad lider comunitario coronel george quintero comandante policia departamento dijo caracol radio activo ruta actuacion institucional prevencion proteccion personas comunidades situacion vulnerabilidad adelanta protocolos actuacion frente hecho desarrollando actividades investigativas permitan establecer responsables hecho ponerlos disposicion justicia colombiana fuente caracol radio,Norte de Santander,Tibú,54,Andina,-72.73595582,8.639737839,norte santander jose patios tibu norte santander jose patios tibu fuente,Norte de Santander,['nortedesantander'],['nortedesantander']
22,34170,NORTE_DE_SANTANDER,TIBU,54810,13/02/2019,accion violenta registro via gabarra catatumbo momentos ambulancia movilizaba hospital tibu javier enrique contreras ramirez aos habia recibido varios disparos coronel george quintero comandante policia norte santander dijo rcn radio ambulancia interceptada cuatro sujetos encapuchados armados atravesaron moto obligaron herido bajarse llevarselo posteriormente cuerpo hallado sector conocido mata coco varios impactos bala,Norte de Santander,Tibú,54,Andina,-72.73595582,8.639737839,tibu norte santander,Norte de Santander,['nortedesantander'],['nortedesantander']
23,34260,NORTE_DE_SANTANDER,TIBU,54810,20/02/2019,operacion realizo gracias esfuerzo conjunto coordinado tropas grupo caballeria mecanizado hermogenes maza brigada narcotrafico division aviacion asalto aereo ejercito apoyo comando aereo combate n fuerza aerea colombiana direccion antinarcoticos policia laboratorio almacenaba kilos clorhidrato cocaina proceso total kilos insumos solidos cerca galones insumos liquidos canecas almacenamiento distintos tamaos dos sistemas condensacion dos grameras gusano orificios planta electrica nueve hornos microondas totalidad insumos maquinaria equipos laboratorio avaluados aproximadamente mil millones pesos decir mil dolares importante cifra afecta principales fuentes financiacion grupo armado organizado margen ley eln,Norte de Santander,Tibú,54,Andina,-72.73595582,8.639737839,,Norte de Santander,['nortedesantander'],['nortedesantander']
24,34265,NORTE_DE_SANTANDER,TIBU,54810,22/02/2019,nuevo hecho violento sacudio region catatumbo vez hombre dedicaba transporte informal asesinado altura sector puente tibu via conecta tibu cucuta ali zaid bayona conducia vehiculo marca chevrolet aveo repente acerco moto obligo orillar alli descendio sicario obligo bajarse automotor seguidamente disparo dejarlo vida transportador murio manera inmediata frente mirada testigos pudieron hacer evitar hecho enseguida agresores huyeron moto rumbo desconocido dejarles ningun rastro autoridades,Norte de Santander,Tibú,54,Andina,-72.73595582,8.639737839,nuevo puente tibu tibu cucuta,Norte de Santander,['nortedesantander'],['nortedesantander']
25,34409,NORTE_DE_SANTANDER,TIBU,54810,6/03/2019,recientes acciones uniformados fuerza tarea vulcano ejercito coordinacion fuerza aerea policia permitieron golpear negocio narcotrafico presunto servicio eln procedimiento produjo vereda versalles tibu autoridades descubrieron laboratorio artesanal dos cristalizaderos pasta base coca uniformados hallaron galones acetona gasolina acido clorhidrico kilos clorhidrato cocaina kilos base coca asi elementos necesarios produccion droga ademas arma fuego,Norte de Santander,Tibú,54,Andina,-72.73595582,8.639737839,versalles tibu,Norte de Santander,['nortedesantander'],['nortedesantander']
26,34441,NORTE_DE_SANTANDER,TIBU,54810,9/03/2019,parecer guerrilleros eln activaron carga explosiva paso camion transportaba soldados zona rural tibu detonacion afecto personas viajaban varias motocicletas lugar fallecieron dos civiles dos miliares dos uniformados mas estan heridos tropas batallon ingenieros segunda division encontraban adelantando trabajos construccion mejoramiento via vereda virgen km municipio tibu norte santander atacados activacion artefacto explosivo improvisado atentado cobro vida cabo segundo carlos roberto prada sanchez soldado profesional wilmer orduz matagira dos civiles movilizaban motocicleta sector murieron parecer onda explosiva hecho dos soldados profesionales resultaron heridos evacuados forma inmediata via area ciudad cucuta recibir atencion medica necesaria,Norte de Santander,Tibú,54,Andina,-72.73595582,8.639737839,paso zona tibu tibu norte santander carlos roberto ciudad cucuta,Norte de Santander,['nortedesantander'],['nortedesantander']
27,34446,NORTE_DE_SANTANDER,TIBU,54810,9/03/2019,marco plan campaa bicentenario heroes libertad ejercito continua esfuerzo diario operacional neutralizando actividades delictivas grupos armados organizados margen ley region catatumbo desarrollo operaciones militares soldados pertenecientes fuerza tarea vulcano ubicaron vereda guachiman municipio tibu laboratorio procesamiento pasta base coca perteneciente grupo armado organizado eln frente juan fernando porras martinez laboratorio almacenaba galones base coca proceso galones pategrillo kilos hoja coca kilos sulfato amoniaco kilos cal kilos cemento canecas metalicas sustancias materiales utilizados fabricacion alcaloide totalidad insumos solidos liquidos incautados estarian avaluados aproximadamente millones pesos importante cifra afecta capacidad financiera gao eln ejercito continuara mision constitucional brindar condiciones seguridad defensa region catatumbo realizando operaciones permitan contrarrestar acciones delictivas pretendan adelantar grupos armados organizados margen ley invita poblacion civil denunciar traves linea gratuita cualquier acto sospechoso pueda afectar tranquilidad pobladores region,Norte de Santander,Tibú,54,Andina,-72.73595582,8.639737839,tibu juan fernando,Norte de Santander,['nortedesantander'],['nortedesantander']
28,34468,NORTE_DE_SANTANDER,TIBU,54810,11/03/2019,desarrollo operaciones control territorial soldados pertenecientes batallon ingenieros n coronel francisco jose caldas ubicaron ultimas horas eje vial vereda virgen kilometro municipio tibu carro explosivos presuntamente perteneceria frente juan fernando porras martinez grupo armado organizado gao eln acuerdo investigaciones seria accionado poblacion civil tropas hacen presencia zona mediante informacion inteligencia pudo establecer vehiculo acondicionado aproximadamente kilos explosivo cuatro cilindros contenian gramos pentonita metros cordon detonante sistema activacion frecuencia alarma vez conocida situacion grupo explosivos demoliciones exde activo protocolos seguridad realizar manera controlada desactivacion carga explosiva evitando asi daos colaterales,Norte de Santander,Tibú,54,Andina,-72.73595582,8.639737839,francisco jose caldas tibu juan fernando zona,Norte de Santander,['nortedesantander'],['nortedesantander']
29,34535,NORTE_DE_SANTANDER,TIBU,54810,17/03/2019,va corrido ejercito liberacion eln atacado veces oleoducto cao limon coveas norte santander arauca embargo ejercito logrado frustrar ataques intento consolidar grupo margen ley va corrido fuerzas militares norte santander logrado desactivar mas campos carros bomba mas reciente via tibula gabarra menos dos dias lograron evitar detonaran dos vehiculos explosivos superiores kilos tropas segunda division ejercito fuerza tarea vulcano policia mantienen zona norte santander especialmente catatumbo concentran grupos margen ley fin seguir evitando atentados,Norte de Santander,Tibú,54,Andina,-72.73595582,8.639737839,coveas norte santander arauca norte santander zona norte santander,Norte de Santander,['nortedesantander'],['nortedesantander']
30,34644,NORTE_DE_SANTANDER,TIBU,54810,28/03/2019,policia norte santander desactivado cuatro artefactos explosivos menos horas caso mas reciente jueves casco urbano tibu municipios catatumbo objeto ubicado inmediaciones colegio kennedy segun medios locales nios ser evacuados institucion denuncia realizada misma comunidad ver triciclo tenia adheridos artefactos,Norte de Santander,Tibú,54,Andina,-72.73595582,8.639737839,norte santander tibu colegio,Norte de Santander,['nortedesantander'],['nortedesantander']
31,34715,NORTE_DE_SANTANDER,TIBU,54810,3/04/2019,accion adelantada unidades sijin permitio ubicar francisco alexis sanguino remolina conocido alias kiko integrante disidencias farc venia activando cargas explosivas sistemas camaras vigilancia poblacion region catatumbo mediante operativo logro ubicar persona encontraba establecimiento departiendo produjo captura momento detencion hallaron poder armas granada fragmentacion mas cinco millones pesos,Norte de Santander,Tibú,54,Andina,-72.73595582,8.639737839,francisco granada,Norte de Santander,['nortedesantander'],['nortedesantander']
32,34732,NORTE_DE_SANTANDER,TIBU,54810,5/04/2019,tres hombres desaparecieron campo dos trata jhon lidimo patio espinosa aos jesus joaquin trillos quintero osneider cuellar desaparecieron pasado marzo tres iban camioneta toyota placa aak rumbo finca poblacion catatumbo patio iba pagar nomina obreros luego encuentro trabajadores partieron momento desaparecieron,Norte de Santander,Tibú,54,Andina,-72.73595582,8.639737839,campo jesus joaquin,Norte de Santander,['nortedesantander'],['nortedesantander']
33,34797,NORTE_DE_SANTANDER,TIBU,54810,10/04/2019,tropas batallon infanteria n general simon bolivar adscritas trigesima brigada encuentran desplegadas municipio tibu localizaron veredas campo giles vegas dos laboratorios procesar pasta base coca galones base coca proceso gasolina kilogramos hoja coca cemento hacen parte insumos encontrados estructuras pertenecerian grupo armado organizado gao eln,Norte de Santander,Tibú,54,Andina,-72.73595582,8.639737839,bolivar tibu campo,Norte de Santander,['nortedesantander'],['nortedesantander']
34,34798,NORTE_DE_SANTANDER,TIBU,54810,10/04/2019,operaciones combatir compra ilegal transporte insumos narcotrafico permitieron dejar descubierto veredas villa nueva cao victoria dos depositos ilegales valorados pesos insumos gasolina cemento urea sulfato amonio empleados grupo armado organizado pelusos,Norte de Santander,Tibú,54,Andina,-72.73595582,8.639737839,villa nueva victoria,Norte de Santander,['nortedesantander'],['nortedesantander']
35,34817,NORTE_DE_SANTANDER,TIBU,54810,13/04/2019,sabado perpetro accion ilicita eloleoducto cao limoncoveas jurisdiccion norte santander situacion registro veredaguachiman tibu reporte entrego noche dia ecopetrol informo activo plan decontingencia tras accion ilicita kp evento produjo caida crudo dos caos estazona preciso empresa manifesto parte plan contingencia protegio bocatoma delacueducto municipio notifico consejos municipal departamental gestion riesgo ydesastres secretaria salud corponor empresa municipal tibu,Norte de Santander,Tibú,54,Andina,-72.73595582,8.639737839,norte santander tibu tibu,Norte de Santander,['nortedesantander'],['nortedesantander']
36,34825,NORTE_DE_SANTANDER,TIBU,54810,13/04/2019,tropas ejercito desmantelaron siete laboratorios procesamiento sustancias ilicitas ademas seis complejos refineria ilegal ubicados veredas barrancas socoavo serpentinas angalia municipio tibu norte santander laboratorios estan avaluados mas millones pesos pertenecientes frentes luis enrique leon guerra juan fernando porras martinez gao eln dos operaciones conjuntas fuerza aerea colombiana coordinada policia logro incautacion galones kilos pasta base coca proceso asi kilos clorhidrato cocaina galones gasolina kilos insumos solidos galones acetona galones acido clorhidrico galones acpm maquinaria equipo lograron incautar hornos microondas grameras sistemas precipitados marcianos destiladeros gusanos evaporadores guadaa canecas varias implementos utilizados procesamiento alcaloides total siete laboratorios seis refinerias neutralizadas fuerza publica tenian capacidad producir alrededor kilos cocaina mes fuente,Norte de Santander,Tibú,54,Andina,-72.73595582,8.639737839,barrancas tibu norte santander luis juan fernando fuente,Norte de Santander,['nortedesantander'],['nortedesantander']
37,34845,NORTE_DE_SANTANDER,TIBU,54810,15/04/2019,ecopetrol confirmo vereda seis zona rural tibu registro nueva accion violenta tramo oleoducto cao limon coveas origino derrame crudo rio tibucito pozo azul sitios gran atraccion turistica region objetivo frenar mancha petroleo instalaron dos puntos control barreras contencion rio tibucito rio tibu sector balastera,Norte de Santander,Tibú,54,Andina,-72.73595582,8.639737839,zona tibu nueva coveas rio rio rio tibu,Norte de Santander,['nortedesantander'],['nortedesantander']
38,34860,NORTE_DE_SANTANDER,TIBU,54810,16/04/2019,representante onu pais afirmo ultimos dias registrado cinco amenazas lideres asociacion campesina catatumbo ascamcat mantiene permanente alerta,Norte de Santander,Tibú,54,Andina,-72.73595582,8.639737839,,Norte de Santander,['nortedesantander'],['nortedesantander']
39,34958,NORTE_DE_SANTANDER,TIBU,54810,28/04/2019,tropas brigada narcotrafico ejercito accion conjunta fuerza aerea coordinada direccion antinarcoticos policia lograron nuevamente golpear estructura financiera grupo armado organizado eln operacion militar llevada cabo vereda dos amigos municipio tibu norte santander tropas ejercito fuerza aerea policia lograron ubicacion destruccion laboratorio procesamiento cocaina compuesto estructuras producia cerca kilos cocaina mes dentro proceso desmantelamiento complejo produccion sustancias ilicitas logro incautacion kilos cocaina kilos proceso cerca kilos insumos solidos galones insumos liquidos lugar ademas ocultaba destiladero evaporador mal llamado gusano nueve hornos microondas dos mesas secado sistema precipitado pesa dos calderas cinco motobombas tres lavadores tipo maquinaria usada produccion cocaina,Norte de Santander,Tibú,54,Andina,-72.73595582,8.639737839,tibu norte santander,Norte de Santander,['nortedesantander'],['nortedesantander']
40,35142,NORTE_DE_SANTANDER,TIBU,54810,14/05/2019,atentado explosivos comision judicial restitucion tierras sector serpentino tibu norte santander dejo dos personas muertas cuatro mas heridas fallecidos chaquib beltran secretario juzgado municipal tibu hombre identificado pasaba sitio segun confirmo coronel fabian ospina gutierrez comandante policia norte santander respecto heridos jose gregorio martinez paba juez tibu abogada dueo predio transeunte identificado ocupantes patrulla funcionarios publicos judiciales realizaban visitas predios planes restitucion tierras zona norte santander,Norte de Santander,Tibú,54,Andina,-72.73595582,8.639737839,tibu norte santander beltran tibu ospina gutierrez norte santander jose tibu zona norte santander,Norte de Santander,['nortedesantander'],['nortedesantander']
41,35219,NORTE_DE_SANTANDER,TIBU,54810,21/05/2019,operaciones adelantadas ejercito vereda san francisco abatido alias camarote alias armando hombre haria parte compaia cinera eln region catatumbo tenia requerimientos justicia delitos rebelion concierto delinquir,Norte de Santander,Tibú,54,Andina,-72.73595582,8.639737839,san francisco,Norte de Santander,['nortedesantander'],['nortedesantander']
42,35220,NORTE_DE_SANTANDER,TIBU,54810,22/05/2019,activacion carga explosiva registrada madrugada miercoles via cucutatibu dejo menos cinco militares suboficial heridos movilizaban patrulla ejercito autoridades conocen momento responsable ataque registrado sector delinque guerrilla eln disidencia farc pelusos,Norte de Santander,Tibú,54,Andina,-72.73595582,8.639737839,,Norte de Santander,['nortedesantander'],['nortedesantander']
43,35244,NORTE_DE_SANTANDER,TIBU,54810,22/05/2019,traves comunicado segunda division ejercito responsabilizo eln activar carga explosiva paso patrulla sector conocido campo via comunica tibu cucuta norte santander,Norte de Santander,Tibú,54,Andina,-72.73595582,8.639737839,paso campo tibu cucuta norte santander,Norte de Santander,['nortedesantander'],['nortedesantander']
44,35276,NORTE_DE_SANTANDER,TIBU,54810,25/05/2019,duro golpe finanzas capacidad producir droga dieron autoridades disidencias fuerzas armadas revolucionarias farc delinquen catatumbo luego destruir dos laboratorios procesamiento estupefacientes tibu acuerdo ejercito estructuras pertenecientes frente desmovilizada guerrilla encontraban vereda angalia cuales almacenaban galones gasolina cetona galones acido sulfurico acido clorhidrico galones aceite combustible motores acpm tropas fuerza tarea vulcano apoyo brigada narcotrafico ejercito fuerza aerea colombiana policia tambien decomisaron kilos cloruro calcio soda caustica metabisilfito kilos carbon sustancias empleadas fabricacion cocaina,Norte de Santander,Tibú,54,Andina,-72.73595582,8.639737839,tibu,Norte de Santander,['nortedesantander'],['nortedesantander']
45,35339,NORTE_DE_SANTANDER,TIBU,54810,30/05/2019,marco plan guerra bicentenario heroes libertad traves desarrollo operaciones accion ofensiva logro ubicacion judicializacion desmantelacion dos laboratorios procesamiento sustancias ilicitas perteneciente grupo armado organizado residual gaor zona rural municipio tibu norte santander estructuras ilegales ubicadas vereda angalia almacenaban galones gasolina cetona galones acido sulfurico acido clorhidrico galones acpm asi kilogramos cloruro calcio kilos soda caustica kilogramos metabisilfito kilogramos carbon sustancias empleadas fabricacion alcaloide igual manera lugar incautados destilador artesanal marciano dos evaporadores caseros gusanos hornos microondas cinco paneles electricos dos electro bombas tres prensas hidraulicas seis basculas grameras marquillas elementos laboratorios tenian capacidad produccion kilogramos cocaina mes estarian avaluados aproximadamente siete mil millones pesos importante cifra economica afecta capacidad financiera estructura delinque zona pais,Norte de Santander,Tibú,54,Andina,-72.73595582,8.639737839,zona tibu norte santander zona,Norte de Santander,['nortedesantander'],['nortedesantander']
