CODIGO,DEPARTAMENTO_HECHO,MUNICIPIO_HECHO,COD_DANE,PDET_ETCR,FECHA_EVENTO,MES_HECHO,ANNO_HECHO,TIPO_EVENTO,SUB_TIPO_EVENTO,PRESUNTO_AUTOR ,DESCRIPCION_PRELIMINAR,FUENTE,CATEGORIA_EVENTO
33775,VALLE_DEL_CAUCA,CAICEDONIA,76122,0,2/01/2019,1,2019,HOMICIDIOS,LIDERES_SOCIALES,NO_PRECISA,"Un dirigente comunal del municipio de Caicedonia, en el norte del Valle del Cauca, fue asesinado cuando se encontraba en su negocio. Se trata del líder social, Jesús Adier Perafán, que de acuerdo con las investigaciones, el hecho se presentó cuando se encontraba en su tienda de abarrotes, allí fue abordado por un hombre que sin mediar palabra le disparó en repetidas ocasiones. El secretario de Seguridad y Justicia del Departamento, Jesús García señaló “no hay testigos de los hechos, en el momento en que ocurren, la esposa y el hijo no estaban en la casa donde también funciona el negocio que tenía y en donde se presentó el atentado a bala”. El funcionario agregó que la Policía Judicial, inició las investigaciones para establecer sí los móviles de este crimen están relacionados con las actividades que desarrollaba, porque además de ser líder comunal, también era un veedor del municipio de Caicedonia.",RCN RADIO,HECHOS_CONTRA_LA_POBLACIÒN_CIVIL
33776,META,PUERTO_RICO,50590,PDET,2/01/2019,1,2019,HOMICIDIOS,OTROS,NO_PRECISA,"En el municipio de Puerto Rico fue asesinado Farley Ovidio Muñoz Cortés en el sector rural de la vereda La Herradura. El hombre se encontraba con una menor de siete años de edad. El siniestro se presentó alrededor de las dos de la tarde cuando el hoy occiso se predisponía a despinchar una motocicleta, cuando de momento llegarondos hombres en una motocicleta y accionaron un arma de fuego causándole cuatro heridas en su cuerpo.Muñoz trabajaba en un montallantas razón por la cual había llegado hasta esa vereda para prestar sus servicios laborales, puesto que minutos antes lo llamaron y citaron allí. Este hombre que residía en el barrio el Jardín, habría llegado hasta el lugar de los hechos, acompañado por una menor de siete años de la cual se desconoce el parentesco, y que, además, fue quién dio aviso a las autoridades sobre lo sucedido y sobre los sujetos que acabaron con la vida de Farley.",HSB NOTICIAS,HECHOS_CONTRA_LA_POBLACIÒN_CIVIL
33777,ANTIOQUIA,MEDELLIN,5001,0,1/01/2019,1,2019,HOMICIDIOS,NO_PRECISA,NO_PRECISA,"Como fue la tendencia en los últimos meses del 2018, este año comenzó con una racha violenta en la capital antioqueña. Según el Sistema de Información para la Seguridad y Convivencia (Sisc), de la Alcaldía, a las 8:09 a.m. de este martes ingresó a un centro asistencial, sin signos vitales, Fredy Alberto Villa, de 37 años, quien presentaba herida ocasionada con arma cortopunzante, en el barrio La Esperanza, de la comuna Doce de Octubre.“ A las 09:33 a.m., en el barrio Belén Granada, las autoridades descubrieron, en tres bolsas negras, las partes del cuerpo de un hombre sin identificar. “Al parecer, el cuerpo de la víctima llevaba varios días allí”, detalló el reporte. En otro hecho violento, esta vez en la comuna 13 de Medellín, siendo las 3:41 p.m., en el barrio Nuevos Conquistadores, fue asesinado con arma de fuego, Sebastián López Rave. “La víctima se encontraba departiendo en un establecimiento comercial, cuando fue abordado por un sujeto, el cual, sin mediar palabra, le disparó en repetidas ocasiones”, reveló el Sisc. Otro hombre, Edison Arley Jiménez Vásquez, fue acribillado, también en la comuna 13, barrio Betania, a las 7:11 p.m. Al respecto, la Secretaría de Seguridad local indicó que “según la ciudadanía, la víctima se encontraba departiendo con sus amigos, cuando fue abordado por dos sujetos, quienes le dispararon en múltiples ocasiones”.",EL COLOMBIANO,HECHOS_CONTRA_LA_POBLACIÒN_CIVIL
33778,VALLE_DEL_CAUCA,CALI,76001,0,1/01/2019,1,2019,HOMICIDIOS,NO_PRECISA,NO_PRECISA,"El primer día del 2019 dejó un saldo de siete homicidios en Cali. Así lo reveló el primer reporte policial del año, el cual señaló que todas las víctimas mortales del pasado 01 de enero fueron hombres entre los 21 y 38 años de edad. De acuerdo con el análisis de las autoridades, este sería el 1 de enero menos violento de la capital del Valle en los últimos 26 años, pues según datos históricos, el pasado martes tuvo resultados menores comparado con el número de asesinatos presentados el 1 de enero de 2016 (nueve homicidios), además de registrar tres homicidios menos que el 1 de enero de 2018. Y es que históricamente esta fecha resulta ser una de las más violentas del año en la ciudad. Esto, considerando que la mayoría de los homicidios suceden durante las prolongadas celebraciones del Año Nuevo.",EL PAIS,HECHOS_CONTRA_LA_POBLACIÒN_CIVIL
33779,CORDOBA,MONTELIBANO,23466,PDET,2/01/2019,1,2019,OTRO_TIPO_DE_EVENTO,OTROS,GAO_GRUPOS_ARMADOS_ORGANIZADOS,"El subcomandante de la Policía de Córdoba, coronel Juan Carvacho informó que en apoyo con el Ejército Nacional se incrementaron losoperativos y requisas en el sur del departamento para frenar la racha de asesinatos. Las acciones se han desplegado especialmente en el municipio de Montelíbano, donde se han registrados varios crímenes en las dos últimas semanas, además de ataques con granadas. ""Nos preocupa lo que está sucediendo con unos hechos aislados que son materia de investigación en el distrito especial de Montelíbano"", dijo el oficial. Así mismo agregó que “viene una comisión especial de la Dijín de Bogotá y estamos articulando con el Ejército para generar unos planes concienzudos y una toma focalizada en ese lugar”. Las primeras investigaciones de las autoridades indican que hay una disputa entre las bandas criminales de 'Los Caparrapos' y el 'Clan del Golfo' por asuntos de narcotráfico.",RCN RADIO,OTRO_TIPO_DE_EVENTOS
33780,CHOCO,ACANDI,27006,PDET,1/01/2019,1,2019,ACCIONES_INSTITUCIONALES,OPERACIONES_ANTINARCOTICOS,NO_PRECISA,"La Policía Nacional, a través de la Dirección Antinarcóticos y en coordinación con agencias internacionales, permitió la incautación de más de 200 kilos de marihuana y 17 kilos de cocaína que iban a bordo de una embarcación. Una operación coordinada con autoridades panameñas y la Policía Antinarcóticos permitió la ubicación de una embarcación pesquera que transportaban 200 kilos de marihuana y 17 kilos de cocaína los cuales habían partido desde las aguas del Pacifico colombiano, el estupefaciente tenía como destino final Centroamérica y Estados Unidos",HSB NOTICIAS,ACCIONES_INSTITUCIONALES
33781,CAQUETA,SAN_VICENTE_DEL_CAGUAN,18753,ETCR - PDET,3/01/2019,1,2019,HOMICIDIOS,OTROS,NO_PRECISA,"En horas de la mañana del primero de enero se conoció de la muerte de un ciudadano que oscila entre los 30 años de edad, quien presentaba varias heridas en diferentes partes del cuerpo, el cuerpo fue encontrado a un costado de la vía que del municipio de San Vicente del Caguán conduce hacia La Macarena Meta. La víctima fue identificada como Luis Ángel Peña. Según fuentes extraoficiales el suceso se habría registrado el pasado 31 de diciembre cerca al sitio conocido como el cruce de los tubos. Según se logró establecer la víctima se movilizaba en una motocicleta de color blanco de alto cilindraje y fue hallado por transeúntes a un costado de la vía quienes dieron aviso a la comunidad la cual esta se habría encargado de hacer el levantamiento del cadáver.",HSB NOTICIAS,HECHOS_CONTRA_LA_POBLACIÒN_CIVIL
33782,CORDOBA,MONTERIA,23001,0,3/01/2019,1,2019,HOMICIDIOS,OTROS,NO_PRECISA,"Un hombre identificado como José Charrasquiel Polo, un campesino de 55 años, residente en el barrio porvenir fue encontrado asesinado, enterrado y desmembrado cerca de donde fue visto por última vez el pasado 27 de diciembre de 2018. La cabeza desmembrada del occiso fue encontrada en una bolsa en el puente La Libertad, ubicado en la vía que, de El Bagre conduce a Caucasia, en el bajo cauca antioqueño",MERIDIANO DE CORDOBA,HECHOS_CONTRA_LA_POBLACIÒN_CIVIL
33783,CESAR,NO_PRECISA,,,4/01/2019,1,2019,ACCIONES_INSTITUCIONALES,RESCATE/_LIBERACION_DE_SECUESTRADOS,GDO_GRUPOS_DELINCUENCIALES_ORGANIZADOS,"Rescatan a dos conductores que habían sido secuestrados en el Cesar. Los camioneros habían sido amordazados, amarrados y vendados por sus secuestradores, miembros de la banda criminal ""Los Lomeros"". El Ejército rescató a dos camioneros que habían sido secuestrados por una banda criminal en el departamento del Cesar (norte), informaron las autoridades. La operación fue realizada por tropas de la Décima Brigada del Ejército, según detallaron las Fuerzas Militares en un comunicado, en un sector conocido como puente Calenturitas, en la carretera que conecta las localidades de La Loma y Bosconia, ambas en el Cesar. La información agregó que los conductores habían sido amordazados, amarrados y vendados por sus secuestradores, miembros de la banda criminal ""Los Lomeros"", que buscaban robarles 22.000 galones de combustible. Al ser rescatados, los secuestrados recibieron primeros auxilios y luego fueron llevados a un centrode salud cercano. Uno de los delincuentes fue capturado en la operación y puesto a disposición de las autoridades competentes",EL ESPECTADOR,ACCIONES_INSTITUCIONALES
33784,COLOMBIA,NO_PRECISA,,,4/01/2019,1,2019,OTRO_TIPO_DE_EVENTO,OTROS,GOBIERNO_NACIONAL,"A través de una nota verbal, por medio de la cancillería colombiana, el Gobierno del país solicitó a Venezuela la verificación de la posible presencia y permanencia en su territorio de miembros del ELN y, en caso tal, hacer efectiva la circular roja de Interpol contra algunos de ellos. A través de la cancillería, Colombia solicitó por medio de una nota verbal al Gobierno de Venezuela verificar la presencia y permanencia en su territorio de algunos miembros del grupo guerrillero, Ejército de Liberación Nacional (ELN). Según el Ministerio de Relaciones Exteriores colombiano, la solicitud fue un requerimiento de la Oficina del Alto Comisionado para la Paz. De igual forma, el Gobierno de Colombia invitó a las autoridades venezolanas a hacer efectiva la circular roja de Interpol contra Eliecer Herlinto Chamorro Acosta, alias “Antonio García”; Gustavo Aníbal Giraldo Quinchía, alias “Pablito”; y Rafael Sierra Granados, alias “Ramiro Vargas”, en caso de que los mencionados se encuentren en territorio del vecino país.",EL ESPECTADOR,OTRO_TIPO_DE_EVENTOS
33785,COLOMBIA,NO_PRECISA,,,4/01/2019,1,2019,OTRO_TIPO_DE_EVENTO,OTROS,GUERRILLA,"En un comunicado de prensa el Ejército de Liberación Nacional (ELN) acusó al Gobierno Nacional de ser el responsable de varios asesinatos de líderes sociales durante el periodo de cese unilateral que esta guerrilla decretó desde el 23 de diciembre y que terminó este jueves 3 de enero. “Mientras cumplimos la tregua de fin de año, el régimen colombiano continuó con el genocidio en contra de líderes sociales y defensores de derechos humanos, perpetrando 9 asesinatos durante los 12 días de esta tregua”, dice el documento. De acuerdo con ELN las Fuerzas Militares serían los responsables de asesinatos de líderes en el Sur de Córdoba; Tarazá, Antioquia; Bahía Solano, Chocó; Ricaurte, Nariño; Caicedonia, Valle del Cauca; San José del Guaviare; Cauca; y Meta. Desde el anuncio de tregua por parte del ELN el Gobierno aseguró que seguiría combatiendo a este grupo armado con la Fuerza Militar.",EL UNIVERSAL,OTRO_TIPO_DE_EVENTOS
33786,MAGDALENA,SANTA_MARTA,47001,PDET,7/01/2019,1,2019,HOMICIDIOS,LIDERES_SOCIALES,NO_PRECISA,"Varios hombres llegaron a la finca de la líder Maritza Quiroz en el área rural del corregimiento de Bonda y la acribillaron mientras que su hijo, por petición suya, se ocultó debajo de una cama y posteriormente informó a las autoridades, convirtiéndose en el sexto líder social asesinado en Colombia en lo que va del 2019. Maritza Isabel Quiroz Leiva, suplente de la Mesa de Víctimas de Santa Marta y líder de las mujeres víctimas de desplazamiento afro en la zona rural, fue ultimada a tiros por desconocidos que irrumpieron en su finca y abrieron fuego contra su humanidad, después que esta le abriera la puerta de la casa, tras pedirle a su hijo de 22 años que se escondiera. El hecho se registró ayer pasadas las 3:00 de la madrugada, en una finca de la vereda San Isidro en las estribaciones de la Sierra Nevada, en área rural de Santa Marta, cuando la víctima se encontraba solamente con su hijo, Luis Camilo Bermúdez Quiroz. De acuerdo con la información entregada por las autoridades, a las 3:50 de la mañana, Bermúdez Quiroz llegó a las instalaciones de la subestación de Policía de Bonda, denunciando el crimen del que fue víctima su progenitora. Según el relato de Bermúdez, al llegar los desconocidos a la casa su mamá le dijo que se ocultara debajo de una cama, mientras abría la puerta, desde donde escuchó las detonaciones que segaron la vida de Quiroz Leiva. Tras esperar varios minutos por temor a que los pistoleros aún estuvieran en el predio, el hijo de la líder salió de su escondite para encontrar el cadáver de su madre, tendido en la puerta de la vivienda sobre un charco de sangre, salió en dirección a Bonda para avisar a la Policía.",EL HERALDO,HECHOS_CONTRA_LA_POBLACIÒN_CIVIL
33787,CAUCA,CAJIBIO,19130,PDET,5/01/2019,1,2019,HOMICIDIOS,LIDERES_SOCIALES,NO_PRECISA,"Campesinos y autoridades confirmaron el asesinato de Wilmer Antonio Miranda, quien se desempeñaba como líder campesino e integrante de Marcha Patriótica en el sector rural del municipio de Cajibío, Cauca. Como explicaron los integrantes de estas agrupaciones humanitarias, los hechos sucedieron ayer alrededor de las 6:00 de la tarde, cuando el líder campesino se movilizaba por el sector de La Mina, en la vereda La Independencia, corregimiento de El Carmelo. “Cuatro hombres vestidos de civil, y portando armas largas, esperaron al defensor de Derechos Humanos Wilmer Antonio Miranda y procedieron a dispararle, causándole así la muerte”, reza el comunicado emitido por la Red de Derechos Humanos del Suroccidente Colombiano ‘Francisco Isaías Cifuentes’. Registrado esto, se estableció que Wilmer Antonio Miranda era integrante activo de la de la Asociación de Trabajadores Campesinos de Cajibío, Atcc, la cual es una filial de la Federación Sindical Unitaria Agropecuaria Fensuagro CUT. De igual forma, era miembro de la Asociación Nacional de Zonas de Reserva Campesina ANZORC. También estaba inscrito a la Coordinadora Nacional de Cultivadores de Coca, Amapola y Marihuana Coccam y de Marcha Patriótica. “Están armados y creenque pueden disponer de nuestras vidas. Cuanto dolor debemos padecer. Hoy, han asesinado a mi amigo ‘Chirapo’, junto a él, libramos varias batallas en Cajibío, defendiendo a machete y palo al campesinado. Duele saber que ellos sentían protección con nuestra presencia y realmente personas como él, significaban protección para nosotros. Nos quedó pendiente el próximo asado y el remedio que me prometió”, manifestó uno de los representantes de Marcha Patriótica en el Cauca, Jhonatan Centeno. Consultado por este caso, el comandante de la Policía en el Cauca, coronel Fabio Rojas, indicó que es materia de investigación las causas de este homicidio. “Tras la verificación de las bases de datos del Sistema Penal Acusatorio, Spoa, el occiso no había manifestado amenazas en su contra”. Hay que recordar que con la muerte de Wilmer Antonio Miranda, ya son dos casos de asesinatos de líderes sociales en el Cauca en este inicio de 2019. El primer caso fue el asesinato de Gilberto Valencia en medio de una pelea en el municipio de Suárez, al norte del Cauca",EL NUEVO LIBERAL,HECHOS_CONTRA_LA_POBLACIÒN_CIVIL
