Cod Depto,Departamento,Cod en texto ,Municipio,Dirección Territorial ,Director Territorial ,Alcalde,Población 2017,No. Víctimas por Declaración,No. Sujetos Atención ,"Acto terrorista , Atentados, Combates, Enfrentamientos , Hostigamientos",Amenaza,Delitos contra la Libertad y la Integridad sexual en desarrollo del conflicto Armado,Desaparición forzada,Desplazamiento Forzado,"Homicidio, Masacre","Minas Antipersonal, Munición sin Explotar y artefacto explosivo improvisado",Secuestro,Tortura,"Vincuación de Niños, Niñas y Adolescentes a actividades relacionadas con grupos armados",Abandono o Despojo Forzado de Tierras,Perdida de Bienes Muebles o Inmuebles ,Puntos de Atención,Personas Atendidas,Solicitudes de AH,Solicitudes de Registro,Solicitudes de Oferta,Otras Solicitudes,Total Solicitudes Recibidas,Priorizado,En Construcción,En Formulación,En proceso de contratación,En Funcionamiento ,Misiones Humanitarias 2012-2017,Emergencias Humanitarias 2012-2017,Incluido,No Incluido,Excluido,En Valoración,RECEPCIÓN FORMATOS / Defensoria,RECEPCIÓN FORMATOS / Personeria,RECEPCIÓN FORMATOS / Procuraduria,RECEPCIÓN FORMATOS / Entidad No Informa ,RECEPCIÓN FORMATOS / Consulados,Beneficiarios Dinero Atención Humanitaria,Valor Dinero Atención Humanitaria,Beneficiarios especie Atención Humanitaria,Valor especie Atención Humanitaria,Caracterización de Población Víctima - PAARI Módulo de Asistencia 2012-2017 - Hogares,Caracterización de Población Víctima - PAARI Módulo de Asistencia 2012-2017 - Personas,Caracterización de Población Víctima - PAARI Módulo de Asistencia 2012-2017 - con discapacidad,Atencion Humanitaria 2012-2017 - Giros,Atencion Humanitaria 2012-2017- Valor,Ayuda Humanitaria por Otros Hechos Diferentes al Desplazamiento 2012-2017 - Víctimas,Ayuda Humanitaria por Otros Hechos Diferentes al Desplazamiento 2012-2017 - Valor,PAARI - Módulo de Reparación 2012- 2017 - Víctimas,PAARI - Módulo de Reparación 2012- 2017 - NNA,Estrategia de Recuperación Emocional ,Indemnizaciones 2012-2017 - No. de Indemnizaciones,Indemnizaciones 2012-2017 - Valor,Programa de Acompañamiento 2017 - Con intención de recibir acompañamiento,Programa de Acompañamiento 2017 - En un Negocio,Programa de Acompañamiento 2017 - En Terreno Rural ,Programa de Acompañamiento 2017 - En Vivienda,Programa de Acompañamiento 2017 - En Educación,Identificación,Acercamiento ,Alistamiento ,Pre-Consulta o Consulta Previa,Caracterización del Daño,Diagnóstico del Daño,Diseño y Formulación,En Fase de Diseño e Implementación del PIRC,PIRC aprobado por CTJ,Sin Especificar,Total SRC en el municipio,SIN FUD,SRC en Valoración,SRC Incluido,DEVOLUCION MP ,SRC No Incluido,SRC Indentificados,Apoyo a Entes Territoriales,Atención y Ayuda Humanitaria ,Proyectos de Infraestructura Social y Comunitaria,Indemnizaciones,Centros Regionales *(Aporte  Unidad Victimas)
5,Antioquia,05042, Santafé De Antioqui,Antioquia,Jorge Mario Alzate Maldonado,Saulo Armando Rivera Fernández,"24,905","3,134","2,224",5,18,5,25,"2,671",500,4,6,0,2,0,5,1,"4,147","2,286",545,0,"2,113","4,944",0,0,0,0,0,0,2,570,223,0,2,1,757,39,0,0,0,0,0,0,"1,321","4,219",233,"1,673",810,23,29,607,21,52,930,"6,242",10,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,838,0,"6,242",0
5,Antioquia,05044, Anza,Antioquia,Jorge Mario Alzate Maldonado,Alexandra Sánchez Marín,"7,591","3,794","2,944",5,22,0,0,"3,704",179,4,3,3,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,467,88,0,2,7,564,2,0,0,0,0,0,0,291,964,42,"1,920",946,1,1,210,1,1,223,"1,211",11,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,948,0,"1,211",0
5,Antioquia,05055, Argelia,Antioquia,Jorge Mario Alzate Maldonado,Bairo Martínez Morales,"8,426","14,162","12,331",192,576,207,54,"14,151",543,47,864,207,12,0,105,0,0,0,0,0,0,0,0,0,0,0,0,1,5,"1,420","2,729",0,4,292,"3,865",2,0,0,0,0,0,0,734,"2,052",147,"8,470","3,861",23,29,"2,533",10,40,"2,022","20,435",66,19,9,26,5,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,"3,890",0,"20,435",0
5,Antioquia,05059, Armenia,Antioquia,Jorge Mario Alzate Maldonado,Gabriel Jaime Barrera Castaño,"4,029",330,285,0,127,0,0,283,85,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,44,33,0,0,0,78,0,0,0,0,0,0,0,41,149,11,461,230,6,8,43,1,4,81,447,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,0,447,0
5,Antioquia,05079, Barbosa,Antioquia,Jorge Mario Alzate Maldonado,Edison García Restrepo,"51,617","5,312","4,465",17,841,29,26,"4,678",819,0,6,6,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,4,815,390,0,3,23,"1,189",0,0,0,15,20,0,0,623,"2,109",160,"2,888","1,575",21,28,964,18,110,0,0,131,19,30,73,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,"1,604",0,0,0
5,Antioquia,05086, Belmira,Antioquia,Jorge Mario Alzate Maldonado,Jorge Ignacio Londoño Londoño,"6,875",475,384,2,0,0,0,372,117,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,72,27,0,0,0,99,0,0,0,0,0,0,0,32,113,15,257,132,0,0,44,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0
5,Antioquia,05088, Bello,Antioquia,Jorge Mario Alzate Maldonado,Cesar Augusto Suarez Mira,"473,423","49,210","40,517",168,"1,142",124,272,"46,729","3,637",58,90,21,6,0,61,1,"28,917","19,369","5,562",38,"13,853","38,822",0,0,0,0,0,2,7,"9,141","4,885",0,21,497,"13,614",172,0,0,602,325,0,0,"13,284","45,062","3,283","42,301","25,818",123,159,"12,550",165,271,"9,217","57,921","1,558",370,111,896,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,"25,977",61,"57,921",0
5,Antioquia,05091, Betania,Antioquia,Jorge Mario Alzate Maldonado,Ronald Alejandro Sánchez Sánchez,"9,079","1,829","1,684",0,565,1,0,"1,834",67,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,104,0,1,0,348,1,0,0,0,0,0,0,302,"1,024",33,"1,414",786,6,8,470,2,0,345,"2,260",107,35,22,44,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,793,0,"2,260",0
5,Antioquia,05093, Betulia,Antioquia,Jorge Mario Alzate Maldonado,Benjamín Alonso Suarez Castillo,"17,663","13,908","10,885",2,91,38,16,"13,721",587,2,60,7,4,0,55,0,0,0,0,0,0,0,0,0,0,0,0,1,2,"1,310",322,0,5,43,"1,600",5,0,0,0,0,0,0,"1,036","3,401",150,"10,643","5,335",2,3,"1,855",3,5,469,"2,787",53,14,10,20,5,1,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,2,0,"5,338",0,"2,787",0
5,Antioquia,05101, Ciudad Bolívar,Antioquia,Jorge Mario Alzate Maldonado,Antonio De Jesús Castaño González,"26,828","2,844","2,112",32,208,11,10,"2,426",541,4,17,8,1,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,543,168,0,1,48,670,2,0,0,0,0,0,0,431,"1,617",73,"1,689",910,9,12,612,10,59,"1,191","8,147",12,2,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,922,0,"8,147",0
5,Antioquia,05107, Briceño,Antioquia,Jorge Mario Alzate Maldonado,José Danilo Agudelo Torres,"8,682","2,741","2,166",35,42,2,34,"2,744",371,21,5,0,1,0,24,0,0,0,0,0,0,0,0,0,0,0,0,25,30,386,240,0,4,103,530,0,0,0,2,2,156,160,319,"1,135",70,"1,319",665,22,29,164,4,1,0,0,20,4,3,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,694,179,0,0
5,Antioquia,05113, Buriticá,Antioquia,Jorge Mario Alzate Maldonado,Humberto Antonio Castaño Usuga,"6,531","4,355","3,279",6,40,1,0,"4,501",117,0,0,0,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,1,1,349,98,0,3,31,420,0,0,0,0,0,0,0,329,"1,124",46,"1,716",900,1,1,239,1,29,0,0,14,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,901,0,0,0
5,Antioquia,05120, Cáceres,Antioquia,Jorge Mario Alzate Maldonado,José Mercedes Berrio Berrio,"39,918","8,946","7,376",40,445,6,92,"9,111",361,19,1,6,3,0,12,1,380,312,68,1,124,505,0,0,0,0,0,24,21,"1,061",375,0,1,21,"1,510",2,0,0,59,52,609,191,"1,123","4,429",159,"7,678","4,846",27,35,913,12,565,0,0,168,41,9,94,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,"4,881",204,0,0
5,Antioquia,05125, Caicedo,Antioquia,Jorge Mario Alzate Maldonado,German Darío Zapata Ferraro,"8,330","1,023",746,9,8,0,15,770,225,5,7,1,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,67,0,1,0,322,0,0,0,0,0,0,0,196,626,35,"1,028",479,16,19,168,4,2,"3,419","16,593",3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,499,0,"16,593",0
5,Antioquia,05129, Caldas,Antioquia,Jorge Mario Alzate Maldonado,Carlos Eduardo Duran Franco,"79,652","4,031","3,031",17,325,7,32,"3,419",750,2,8,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,610,513,0,1,0,"1,126",5,0,0,22,12,0,0,595,"2,079",122,"2,272","1,269",15,19,893,15,40,736,"4,784",77,12,5,57,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,"1,288",0,"4,784",0
5,Antioquia,05134, Campamento,Antioquia,Jorge Mario Alzate Maldonado,Jorge Iván Duran Lopera,"8,970","2,031","1,504",184,896,1,79,"1,490",451,27,87,26,1,0,27,0,0,0,0,0,0,0,0,0,0,0,0,5,6,483,79,0,0,65,498,1,0,0,4,2,0,0,234,911,59,618,269,55,65,184,2,1,383,"2,979",12,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,335,0,"2,979",0
5,Antioquia,05138, Cañasgordas,Antioquia,Jorge Mario Alzate Maldonado,Margarita Del Rosario Lopera Cardona,"16,745","4,148","3,404",16,79,8,14,"3,745",444,7,15,0,1,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,531,219,0,6,16,752,1,0,0,0,0,0,0,348,"1,178",67,"3,404","1,774",13,17,478,2,1,818,"5,063",24,6,4,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,791",0,"5,063",0
5,Antioquia,05142, Caracolí,Antioquia,Jorge Mario Alzate Maldonado,Luis Emilio Giraldo Velásquez,"4,543",767,625,3,272,3,14,625,119,1,23,14,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,70,0,2,0,326,0,0,0,0,0,0,0,71,232,17,525,266,3,4,73,0,0,188,"1,323",6,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,0,"1,323",0
5,Antioquia,05145, Caramanta,Antioquia,Jorge Mario Alzate Maldonado,Carlos Mario Patiño García,"5,321",464,347,0,50,5,0,314,165,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,28,0,0,30,94,0,0,0,0,0,0,0,33,88,9,225,107,0,0,91,0,0,300,"2,250",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,"2,250",0
5,Antioquia,05148, El Carmen De Vibora,Antioquia,Jorge Mario Alzate Maldonado,Néstor Fernando Zuluaga Giraldo,"47,915","7,913","6,052",14,20,48,45,"6,743","1,381",14,20,3,2,0,49,1,"6,044","3,148","1,132",31,"2,935","7,246",0,0,0,0,0,0,3,915,258,0,1,30,"1,170",1,0,0,0,0,0,0,"1,727","6,139",389,"3,549","1,925",14,18,"1,637",18,76,"1,396","9,146",117,21,19,67,7,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,"1,944",76,"9,146",0
5,Antioquia,05150, Carolina,Antioquia,Jorge Mario Alzate Maldonado,Ana Isabel Avendaño Duque,"3,552",485,353,1,10,0,2,369,117,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,29,0,1,0,112,0,0,0,0,0,0,0,47,137,8,233,112,2,3,177,0,29,107,495,14,1,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,495,0
5,Antioquia,05154, Caucasia,Antioquia,Jorge Mario Alzate Maldonado,Oscar Aníbal Suarez,"117,670","23,492","18,403",50,"1,184",20,325,"22,809","1,283",6,12,5,18,0,103,1,"22,699","20,966","4,359",0,"3,887","29,212",0,0,0,0,1,35,11,"2,898","1,303",0,10,110,"4,164",0,0,0,177,193,578,223,"6,161","22,747",775,"21,060","13,140",122,155,"3,128",34,"1,063","1,620","11,955",611,186,22,362,29,1,0,2,0,0,0,0,0,0,0,3,1,0,2,0,0,3,416,"13,295",0,"11,955",512
5,Antioquia,05190, Cisneros,Antioquia,Jorge Mario Alzate Maldonado,Luis Guillermo Álvarez González,"8,932","1,835","1,393",10,8,9,44,"1,560",277,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462,266,0,4,3,733,3,0,0,0,0,0,0,198,675,34,"1,267",633,14,18,410,4,2,"1,538","8,581",22,6,5,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,651,0,"8,581",0
5,Antioquia,05197, Cocorná,Antioquia,Jorge Mario Alzate Maldonado,Johan Alberto Ramírez Mejía,"14,945","19,541","16,827",67,96,12,50,"19,059","1,150",31,132,0,5,0,115,1,"6,873","3,934",995,0,"3,359","8,288",0,0,0,0,0,3,1,"1,940",627,0,4,0,"2,680",1,0,0,9,7,17,5,"2,956","8,482",672,"13,218","6,090",24,31,"5,627",121,83,"5,298","27,575",176,38,18,98,12,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,12,"6,121",39,"27,575",0
5,Antioquia,05206, Concepción,Antioquia,Jorge Mario Alzate Maldonado,Henry Alberto Puerta Franco,"3,284","2,126","1,495",3,24,1,16,"1,985",292,1,7,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,61,0,1,0,302,0,0,0,0,0,0,0,116,408,22,911,479,0,0,86,0,0,58,547,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479,0,547,0
5,Antioquia,05209, Concordia,Antioquia,Jorge Mario Alzate Maldonado,Diego Alejandro Restrepo Guerra,"20,476","2,882","2,308",119,"1,373",40,71,"2,743",417,1,17,21,1,0,110,0,0,0,0,0,0,0,0,0,0,0,0,1,1,821,219,0,2,6,"1,040",0,0,0,0,0,0,0,270,952,62,"1,569",764,6,8,331,5,1,0,0,32,12,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,772,0,0,0
5,Antioquia,05212, Copacabana,Antioquia,Jorge Mario Alzate Maldonado,Oscar Restrepo,"71,885","4,790","3,700",10,29,11,42,"4,312",547,4,12,2,2,0,39,0,0,0,0,0,0,0,0,0,0,0,0,3,0,891,527,0,3,36,"1,403",1,0,0,37,21,0,0,780,"2,667",172,"2,706","1,469",15,19,"1,040",22,22,870,"5,589",117,24,16,68,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,"1,488",0,"5,589",0
5,Antioquia,05234, Dabeiba,Antioquia,Jorge Mario Alzate Maldonado,Antonio José Lara Várelas ,"23,176","18,646","15,821",59,"1,935",12,135,"18,551",797,59,19,5,25,0,328,1,"11,026","6,599","4,318",31,"1,800","12,748",0,0,0,0,0,9,8,"2,238",425,0,8,179,"2,521",1,0,0,2,1,33,10,"3,048","9,941",279,"15,309","8,286",56,71,"2,412",11,38,"1,911","11,019",186,40,31,98,11,1,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,2,11,"8,357",99,"11,019",0
5,Antioquia,05237, Donmatías,Antioquia,Jorge Mario Alzate Maldonado,Yudy Marcela Peña Correa,"23,209","2,375","2,079",5,202,10,18,"2,235",184,0,2,1,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,69,0,2,29,361,0,0,0,0,0,0,0,197,741,41,"1,475",833,8,10,232,0,0,170,"1,074",41,10,5,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,843,0,"1,074",0
5,Antioquia,05240, Ebéjico,Antioquia,Jorge Mario Alzate Maldonado,Jorge Iván Vásquez Arboleda,"12,507",276,206,6,16,0,16,191,74,0,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,53,0,1,0,120,0,0,0,0,0,0,0,39,140,5,156,71,4,5,61,1,0,64,448,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,448,0
5,Antioquia,05250, El Bagre,Antioquia,Jorge Mario Alzate Maldonado,Ángel Mesa Castro,"50,242","19,937","14,183",82,973,4,32,"20,597",293,16,7,2,38,0,69,1,"7,242","5,715","1,142",6,"1,866","8,729",0,0,0,0,0,25,37,"3,353",657,0,5,199,"3,849",4,0,0,133,103,"2,267",507,"3,133","12,620",401,"14,974","8,562",27,35,"1,383",15,16,273,"1,763",248,64,24,141,12,0,0,0,0,2,0,0,0,1,0,3,0,0,3,0,0,3,610,"8,597",0,"1,763",0
5,Antioquia,05264, Entrerrios,Antioquia,Jorge Mario Alzate Maldonado,Jorge Alonso Tamayo Villa,"10,248",351,284,1,13,1,0,309,44,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,51,0,0,0,127,0,0,0,0,0,0,0,72,266,9,204,99,0,0,60,0,0,0,0,12,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0
5,Antioquia,05266, Envigado,Antioquia,Jorge Mario Alzate Maldonado,Raúl Eduardo Cardona González,"232,903","5,864","4,704",74,"1,415",12,95,"4,927","1,249",1,65,3,0,0,49,1,"4,872","2,574","1,236","2,135","2,292","8,237",0,0,0,0,0,1,2,"1,228","1,414",0,16,17,"2,649",4,0,0,106,53,0,0,"1,354","4,514",158,"3,010","1,657",21,27,"2,424",42,42,"4,284","29,965",180,33,10,108,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,"1,684",0,"29,965",0
5,Antioquia,05282, Fredonia,Antioquia,Jorge Mario Alzate Maldonado,Gabriel Ignacio Muñoz Gómez,"21,283","1,005",807,5,14,3,18,701,309,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,99,0,0,7,251,0,0,0,0,0,0,0,43,142,10,413,264,3,4,190,4,16,0,0,54,10,11,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,0,0,0
5,Antioquia,05284, Frontino,Antioquia,Jorge Mario Alzate Maldonado,Yudy Estella Pulgarin Marín,"16,008","12,639","10,574",21,57,9,68,"12,683",523,4,123,3,2,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,570",631,0,9,54,"2,168",0,0,0,0,0,0,0,545,"1,808",115,"8,140","4,908",28,36,860,7,32,"1,573","9,596",57,11,11,32,6,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,"4,945",0,"9,596",0
